hour,opti_function,volatility,event
706.0,-394.90238907403983,1.0,NORMAL
707.0,-409.584062751828,1.0,NORMAL
708.0,-410.7895894333773,1.0,NORMAL
709.0,-406.19242556533675,1.0,NORMAL
710.0,-389.58961710666995,1.0,NORMAL
711.0,-416.6432304919343,1.0,NORMAL
712.0,-369.8048213241189,1.0,NORMAL
713.0,-313.36398873295946,1.0,NORMAL
714.0,162.8745940751447,1.0,NORMAL
715.0,-207.38746214221277,1.0,NORMAL
716.0,652.9621564416334,1.0,NORMAL
717.0,267.7051143462295,1.0,NORMAL
718.0,-481.04892611099797,1.0,NORMAL
719.0,1081.120482766481,1.0,NORMAL
720.0,-286.7713333333334,1.0,NORMAL
721.0,-362.0626600102529,1.0,NORMAL
722.0,838.3443318851399,1.0,NORMAL
723.0,-253.49371392527922,1.0,NORMAL
724.0,-424.1194417626736,1.0,NORMAL
725.0,-425.1456493645856,1.0,NORMAL
726.0,-426.21551892404136,1.0,NORMAL
727.0,-427.330908122209,1.0,NORMAL
728.0,-428.493753678841,1.0,NORMAL
729.0,-429.7060747151216,1.0,NORMAL
730.0,-430.96997625959267,1.0,NORMAL
731.0,-432.2876529032459,1.0,NORMAL
732.0,-433.6613926101276,1.0,NORMAL
733.0,-435.0935806900738,1.0,NORMAL
734.0,-436.5867039404717,1.0,NORMAL
735.0,-438.1433549642412,1.0,NORMAL
736.0,-439.76623667153297,1.0,NORMAL
737.0,-441.4581669729594,1.0,NORMAL
738.0,-443.2220836725088,1.0,NORMAL
739.0,-445.06104956863686,1.0,NORMAL
740.0,-446.9782577723952,1.0,NORMAL
741.0,-448.9770372518283,1.0,NORMAL
742.0,-451.0608586122685,1.0,NORMAL
743.0,-453.2333401225642,1.0,NORMAL
744.0,-407.6666666666667,1.0,NORMAL
745.0,-408.471512289844,1.0,NORMAL
746.0,-405.0171495786826,1.0,NORMAL
747.0,-399.3939560041806,1.0,NORMAL
748.0,-413.6149956631062,1.0,NORMAL
749.0,-384.4693806267118,1.0,NORMAL
750.0,-355.48039745108,1.0,NORMAL
751.0,-413.09536760196596,1.0,NORMAL
752.0,-373.3356192758522,1.0,NORMAL
753.0,-359.90281213731413,1.0,NORMAL
754.0,-266.7064622507496,1.0,NORMAL
755.0,-320.7476389201481,1.0,NORMAL
756.0,-458.6692109393674,1.0,NORMAL
757.0,716.8487550574412,1.0,NORMAL
758.0,689.5952352517996,1.0,NORMAL
759.0,-106.0933510695645,1.0,NORMAL
760.0,-439.76623667153297,1.0,NORMAL
761.0,-441.4581669729594,1.0,NORMAL
762.0,-443.2220836725088,1.0,NORMAL
763.0,-445.06104956863686,1.0,NORMAL
764.0,-446.9782577723952,1.0,NORMAL
765.0,-448.9770372518283,1.0,NORMAL
